0x0,Properties end
0x83cb,Change alias (32775)
0x83cc,Change alias (32776)
0x83cd,Change alias (32777)
0x83ce,Change alias (32778)
0x83cf,Change alias (32779)
0x83d0,Change alias (32780)
0x83d1,Change alias (32781)
0x83d2,Change alias (32782)
0x83d3,Change alias (32783)
0x83d4,Change alias (32784)
0x83d5,Change alias (32785)
0x83d6,Change alias (32786)
0x83d7,Change alias (32787)
0x83d8,Change alias (32788)
0x83d9,Change alias (32789)
0x83da,Change alias (32790)
0x83db,Change alias (32791)
0x83dc,Change alias (32792)
0x83dd,Change alias (32793)
0x83de,Change alias (32794)
0x83df,Change alias (32795)
0x83e0,Change alias (32796)
0x83e1,Change alias (32797)
0x83e2,Change alias (32798)
0x83e3,Change alias (32799)
0x83e4,Change alias (32800)
0x83e5,Restore default stance (32768)
0x83e6,Restore standing move (32769)
0x83e7,Restore crouching move (32770)
0x83e8,Restore death move (32771)
0x83e9,Restore alias (32772)
0x83ea,Restore alias (32773)
0x83eb,Restore alias (32774)
0x83ec,Restore alias (32775)
0x83ed,Restore alias (32776)
0x83ee,Restore alias (32777)
0x83ef,Restore alias (32778)
0x83f0,Restore alias (32779)
0x83f1,Restore alias (32780)
0x83f2,Restore alias (32781)
0x83f3,Restore alias (32782)
0x83f4,Restore alias (32783)
0x83f5,Restore alias (32784)
0x83f6,Restore alias (32785)
0x83f7,Restore alias (32786)
0x83f8,Restore alias (32787)
0x83f9,Restore alias (32788)
0x83fa,Restore alias (32789)
0x83fb,Restore alias (32790)
0x83fc,Restore alias (32791)
0x83fd,Restore alias (32792)
0x83fe,Restore alias (32793)
0x83ff,Restore alias (32794)
0x8400,Restore alias (32795)
0x8401,Restore alias (32796)
0x8402,Restore alias (32797)
0x8403,Restore alias (32798)
0x8404,Restore alias (32799)
0x8405,Restore alias (32800)
0x8406,Rotate Player
0x8407,Put opponent next to player
0x8410,Story Power Crush
0x8428,Both Hands Mot Data
0x8429,Left hand Mot Data
0x842a,Right hand Mot Data
0x842b,Left hand Mot Related(?)
0x842c,Right hand Mot Related(?)
0x842d,Play both hand anim
0x842e,Play left hand anim
0x842f,Play right hand anim
0x8430,Devil Kazuya wing animations
0x8435,Cinematic Camera (intro/outro)
0x8439,Cinematic Camera Left side
0x843a,Cinematic Camera Right side
0x843c,Throw camera
0x843d,Rage Art camera
0x8442,Camera Zoom Focal Point
0x8443,Camera Zoom Effect
0x844e,Camera Movement
0x844f,Camera Interpolation
0x8450,Camera Rotation
0x8454,Something used in Rage Art Camera (?)
0x84c1,Play facial anim
0x84c2,Play facial anim sequence
0x84c3,Play system sound
0x84c4,Play player sound
0x84c5,Play player sound
0x84c6,Play opponent sound
0x84ca,Announcer says 'Fight'
0x84cb,Play attached audio
0x84cc,Preset Camera Zoom
